n_notes,total_duration,note_density,n_instruments,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,dur_mean,dur_std,vel_mean,vel_std,tempo,polyphony_mean,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,filename,composer
307,45.0,6.822222222222222,4,59.755700325732896,7.6836213818003705,41,76,35,0.5618892508143323,0.2927811810587813,96.0,0.0,171.42857142857144,3.9375,0.09120521172638436,0.03908794788273615,0.1986970684039088,0.0,0.13029315960912052,0.1270358306188925,0.003257328990228013,0.08469055374592833,0.02280130293159609,0.21498371335504887,0.02280130293159609,0.06514657980456026,Bwv018a.5.mid,bach
123,56.72739076757812,2.1682647189600552,1,75.26829268292683,4.28283237853519,62,84,22,0.4434642751048018,0.23038511162811778,96.0,0.0,155.2941590588347,1.0092250922509225,0.11382113821138211,0.0,0.11382113821138211,0.016260162601626018,0.13008130081300814,0.2032520325203252,0.0,0.18699186991869918,0.0,0.16260162601626016,0.07317073170731707,0.0,017206vn.mid,bach
3072,156.52152,19.626694144038467,7,61.8974609375,12.877991918184616,25,83,58,0.24665245133463531,0.17228968286913487,93.46354166666667,5.84377553098998,184.0002576003607,3.9195402298850577,0.015625,0.1171875,0.17610677083333334,0.005208333333333333,0.138671875,0.011067708333333334,0.13704427083333334,0.09635416666666667,0.021158854166666668,0.15397135416666666,0.008463541666666666,0.119140625,Bwv1054 Harpsichord Concerto n3 3mov.mid,bach
5447,309.5643149999999,17.5956973593678,9,65.47769414356526,10.992053138893997,38,85,47,0.406372815957561,0.34822137964624994,76.0,0.0,192.18000834850355,3.783885285080232,0.012851110703139343,0.09216082247108501,0.14760418579034332,0.008812190196438406,0.14448320176243803,0.0,0.14815494767762072,0.14595190012851111,0.017624380392876813,0.1865246924912796,0.003304571323664402,0.09252799706260327,Bwv1069 Orchestral Suite n4 4mov.mid,bach
215,32.5,6.615384615384615,4,61.246511627906976,7.685060978929497,40,76,36,0.5697674418604651,0.3097874430479714,96.0,0.0,150.85714285714286,3.9120521172638436,0.06046511627906977,0.06046511627906977,0.11162790697674418,0.023255813953488372,0.13953488372093023,0.0,0.13488372093023257,0.13488372093023257,0.009302325581395349,0.09767441860465116,0.023255813953488372,0.20465116279069767,012506b_.mid,bach
276,42.5,6.4941176470588236,4,59.73913043478261,7.0266618002754715,43,74,31,0.5887681159420289,0.3779837961139488,96.0,0.0,162.20689655172413,3.832923832923833,0.14492753623188406,0.007246376811594203,0.13043478260869565,0.0,0.19202898550724637,0.07608695652173914,0.010869565217391304,0.08333333333333333,0.03260869565217391,0.17391304347826086,0.0036231884057971015,0.14492753623188406,013506b_.mid,bach
5823,732.4321007812501,7.950225002138609,3,61.99639361154044,12.736021280890363,24,84,60,0.39243091607812436,0.45171236993275143,111.04774171389319,6.680751836255899,202.91491675378464,3.1690198766278272,0.16640906749098403,0.007041044135325434,0.1287995878413189,0.13532543362527907,0.010303967027305513,0.13240597630087583,0.009788768675940238,0.16812639532886828,0.07934054611025244,0.034518289541473464,0.062167267731409924,0.06577365619096685,Bwv0582 Passacaglia and Fugue.mid,bach
1584,277.92651601666665,5.699348240327709,3,62.95770202020202,10.222344004263947,37,83,46,0.4226256007680975,0.37211164324547596,64.0,0.0,186.1364473977649,2.483133433283358,0.028409090909090908,0.11805555555555555,0.02904040404040404,0.14646464646464646,0.06691919191919192,0.05808080808080808,0.08964646464646464,0.04671717171717172,0.14962121212121213,0.013888888888888888,0.1268939393939394,0.12626262626262627,Wtcii18b.mid,bach
295,39.13038,7.538899443348109,4,60.0406779661017,7.644542057518916,42,74,32,0.5040523525423729,0.24433979266008393,96.0,0.0,173.35561459868688,3.932795698924731,0.12203389830508475,0.0,0.18305084745762712,0.09491525423728814,0.013559322033898305,0.0847457627118644,0.0576271186440678,0.17627118644067796,0.0,0.10847457627118644,0.14915254237288136,0.010169491525423728,033300b_.mid,bach
99,24.44442,4.05000405000405,4,60.77777777777778,8.219901392359414,42,76,34,0.9876533333333334,0.6144710939544314,96.0,0.0,99.000099000099,3.9754098360655736,0.0,0.13131313131313133,0.06060606060606061,0.010101010101010102,0.1414141414141414,0.030303030303030304,0.1717171717171717,0.0,0.1111111111111111,0.16161616161616163,0.020202020202020204,0.16161616161616163,032300b_.mid,bach
6056,920.4313863333334,6.57952356897011,3,65.71532364597094,10.202970029279262,36,84,48,0.40437547794164147,0.40167195678355316,96.13969616908851,3.9328036678330536,205.91974998940066,2.6580390436499233,0.10303830911492734,0.03533685601056803,0.14200792602377807,0.02394319682959049,0.11723910171730516,0.11740422721268164,0.02427344782034346,0.12896301188903567,0.025429326287978865,0.148778071334214,0.077443857331572,0.056142668428005284,Bwv0527 Sonate en trio n3.mid,bach
178,28.571399999999997,6.23000623000623,4,58.58988764044944,7.067516210142977,38,72,34,0.5938998876404494,0.22118887564412631,96.0,0.0,150.31593978962403,3.9318181818181817,0.1348314606741573,0.016853932584269662,0.19662921348314608,0.056179775280898875,0.033707865168539325,0.06741573033707865,0.08426966292134831,0.15730337078651685,0.0,0.1404494382022472,0.09550561797752809,0.016853932584269662,035100b_.mid,bach
858,100.2917469,8.555040933283413,2,63.976689976689975,10.56159278663019,33,83,50,0.2940221854895107,0.2395494236832213,106.99533799533799,0.09644830240362329,272.67678227750986,2.71505376344086,0.0,0.1445221445221445,0.09090909090909091,0.03263403263403263,0.14918414918414918,0.011655011655011656,0.12121212121212122,0.0,0.1258741258741259,0.16317016317016317,0.004662004662004662,0.1561771561771562,Bwv0806 English Suite n1 03mov .mid,bach
